d3fend-id,tactic,label,definition,how-it-works,url
D3-ANCI,Evict,Credential Eviction: Authentication Cache Invalidation,Removing tokens or credentials from an authentication cache to prevent further user associated account accesses.,Applications can locally cache user authentication credentials for certain server connections. An application may attempt to use the cached credential for a connection. If the cached credentials exist then the user will not be typically prompted for new credentials.,https://d3fend.mitre.org/technique/d3f:AuthenticationCacheInvalidation
D3-AL,Evict,Credential Eviction: Account Locking,The process of temporarily disabling user accounts on a system or domain.,"Management servers with enterprise policies for account management provide the ability to enable and disable account for given rules. The rules may include specific periods of time (eg. weekend, plant shutdown, leave periods), specific user types or groups, or individual users.",https://d3fend.mitre.org/technique/d3f:AccountLocking
D3-PT,Evict,Process Eviction: Process Termination,Terminating a running application process on a computer system.,"Processes are managed by the operating system kernel.  Different operating system kernels manage the creation and termination of processes in a different manner, and expose this functionality via the kernel API.

A running process might be terminated to mitigate its immediate effects if it is exhibiting anomalous, unauthorized, or malicious behavior; such as after detecting anomalous behavior via <a href=""https://d3fend.mitre.org/technique/d3f:AdministrativeNetworkActivityAnalysis"" rdf:about=""https://d3fend.mitre.org/ontologies/d3fend.owl#AdministrativeNetworkActivityAnalysis"">Administrative Network Activity Analysis</a>, after a failed check from <a href=""https://d3fend.mitre.org/technique/d3f:StackFrameCanaryVerification"" rdf:about=""https://d3fend.mitre.org/ontologies/d3fend.owl#StackFrameCanaryVerification"">Stack Frame Canary Verification</a>, or after <a href=""https://d3fend.mitre.org/technique/d3f:SystemCallAnalysis"" rdf:about=""https://d3fend.mitre.org/ontologies/d3fend.owl#SystemCallAnalysis"">System Call Analysis</a> finds an attempt to execute an unauthorized system call.",https://d3fend.mitre.org/technique/d3f:ProcessTermination
D3-DP,Deceive,Decoy Object: Decoy Persona,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries.","A false online identity is created for the purposes of interacting with adversaries in a direct or indirect manner. This includes the associated email addresses, social media accounts, and other online communication profiles.",https://d3fend.mitre.org/technique/d3f:DecoyPersona
D3-DF,Deceive,Decoy Object: Decoy File,A file created for the purposes of deceiving an adversary.,"The decoy file is made available as a local or network resource. Accesses to the file may be monitored. The files may be configurations, documents, executables, or other file types.",https://d3fend.mitre.org/technique/d3f:DecoyFile
D3-DPR,Deceive,Decoy Object: Decoy Public Release,Issuing publicly released media to deceive adversaries.,"Publicly released media includes press release, videos, or other marketing collateral. The media may include URLs, points of contact, or other identifiers to entice interaction from adversaries.",https://d3fend.mitre.org/technique/d3f:DecoyPublicRelease
D3-DNR,Deceive,Decoy Object: Decoy Network Resource,Deploying a network resource for the purposes of deceiving an adversary.,"Decoy network resources are deployed to web application servers, network file shares, or other network based sharing services.

A ""honeypot"" may serve a variety of decoy network resources.",https://d3fend.mitre.org/technique/d3f:DecoyNetworkResource
D3-DUC,Deceive,Decoy Object: Decoy User Credential,A Credential created for the purpose of deceiving an adversary.,"A detection analytic is developed to determine when a user uses decoy credentials. Subsequent actions by that user may be monitored or controlled by the defender.

A credential may be:
 * Domain username and password
 * Local system username and password",https://d3fend.mitre.org/technique/d3f:DecoyUserCredential
D3-DST,Deceive,Decoy Object: Decoy Session Token,An authentication token created for the purposes of deceiving an adversary.,Usage of decoy session tokens may be monitored to track attacker behavior or otherwise control the beliefs of the attacker.,https://d3fend.mitre.org/technique/d3f:DecoySessionToken
D3-SHN,Deceive,Decoy Environment: Standalone Honeynet,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.,"A standalone honeynet does not directly interact with the real enterprise environment. It may be located near or in some portion of the enterprise address space, but it does not interact with enterprise resources.",https://d3fend.mitre.org/technique/d3f:StandaloneHoneynet
